Name,File Size (paragraphs),Kappa,Agreement,A And B (%),Not A And Not B (%),Disagreement,A And Not B (%),B And Not A (%)
Nodes\\Sources and solutions\Evidence synthesis,"",0.28,99.3,0.14,99.16,0.7,0.4,0.3
"Nodes\\Sources and solutions\Evidence synthesis : Valdez, Joshua, Kim, Matthew, Rueschman, Michael, Socrates, Vimig, Redline, Susan & Sahoo, Satya S. (2017)",183,-0.02,95.08,0,95.08,4.92,3.28,1.64
"Nodes\\Sources and solutions\Evidence synthesis : Botkin-Kowacki, Eva (2016)",39,0,97.44,0,97.44,2.56,0,2.56
"Nodes\\Sources and solutions\Evidence synthesis : Diep, Francie (2018)",31,0,93.55,0,93.55,6.45,6.45,0
"Nodes\\Sources and solutions\Evidence synthesis : Doidge, Norman (2016)",134,0,99.25,0,99.25,0.75,0.75,0
"Nodes\\Sources and solutions\Evidence synthesis : Earp, Brian D. & Trafimow, David (2015)",253,0,99.6,0,99.6,0.4,0.4,0
"Nodes\\Sources and solutions\Evidence synthesis : Fanelli, Daniele (2018)",61,0,96.72,0,96.72,3.28,3.28,0
"Nodes\\Sources and solutions\Evidence synthesis : Gall, Thomas, Ioannidis, John P. A. & Maniadis, Zacharias (2017)",160,0,99.38,0,99.38,0.62,0.62,0
"Nodes\\Sources and solutions\Evidence synthesis : Gelman, Andrew (2018)",121,0,98.35,0,98.35,1.65,0,1.65
"Nodes\\Sources and solutions\Evidence synthesis : Ioannidis, John P. A. (2005)",169,0,97.63,0,97.63,2.37,0,2.37
"Nodes\\Sources and solutions\Evidence synthesis : Murphy, Kate (2017)",32,0,96.88,0,96.88,3.12,3.12,0
"Nodes\\Sources and solutions\Evidence synthesis : Nosek, Brian A., Spies, Jeffrey R. & Motyl, Matt (2012)",265,0,99.62,0,99.62,0.38,0.38,0
"Nodes\\Sources and solutions\Evidence synthesis : Vazire, Simine (2018)",102,0,99.02,0,99.02,0.98,0.98,0
"Nodes\\Sources and solutions\Evidence synthesis : Bak, Thomas H. (2016)",137,0.39,97.81,0.73,97.08,2.19,0.73,1.46
"Nodes\\Sources and solutions\Evidence synthesis : Shrout, Patrick E. & Rodgers, Joseph L. (2018)",327,0.51,96.63,1.83,94.8,3.36,0,3.36
"Nodes\\Sources and solutions\Evidence synthesis : Hengartner, Michael P. (2018)",97,0.66,97.94,2.06,95.88,2.06,0,2.06
"Nodes\\Sources and solutions\Evidence synthesis : Button, Katherine S., Ioannidis, John P. A., Mokrysz, Claire, Nosek, Brian A., Flint, Jonathan, Robinson, Emma S. J. & Munafò, Marcus R. (2013)",450,1,100,0.22,99.78,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Reardon, Sara (2016)",48,1,100,2.08,97.92,0,0,0
Nodes\\Sources and solutions\Evidence synthesis : 2013 - The Statistical Puzzle Over How Much Biomedical Re,27,1,100,0,100,0,0,0
Nodes\\Sources and solutions\Evidence synthesis : 2018 - Gender and Health - Gender Health; Reports on Gend,20,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Achenbach, Joel (2014)",61,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Alberts, Bruce, Cicerone, Ralph J., Fienberg, Stephen E., Kamb, Alexander, McNutt, Marcia, Nerem, Robert M., Schekman, Randy, Shiffrin, Richard, Stodden, Victoria, Suresh, Subra, Zuber, Maria T., Pope, Barbara Kline & Jamieson, Kathleen Hall (2015)",93,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Baker, Monya (2015) (2)",51,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Baker, Monya (2016)",40,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Croughan, Matthew (2017)",81,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Diep, Francie (2014)",13,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Doctorow, Cory (2018)",28,1,100,0,100,0,0,0
Nodes\\Sources and solutions\Evidence synthesis : Editorial - 2013 - Announcement Reducing our irreproducibility,23,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Freedman, David H. (2010)",54,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Gibney, Elizabeth (2012)",45,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Gilbert, Daniel T., King, Gary, Pettigrew, Stephen & Wilson, Timothy D. (2016)",47,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Gopinath, C. (2013)",26,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Gordon, Ascelin & Fidler, Fiona (2013)",53,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Justice, Monica J. & Dhillon, Paraminder (2016)",45,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Kummer, Larry & Editor (2016)",313,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Laframboise, Donna (2017)",23,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Laframboise, Donna (2018)",39,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Leek, Jeffrey T. & Peng, Roger D. (2015)",28,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Lilienfeld, Scott O. (2017)",79,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Lowe, Derek (2013) (2)",61,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Macleod, Malcolm R. (2018)",52,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Oransky, Ivan (2014)",123,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Parsons, Sam (2017)",25,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Pashler, Harold & Harris, Christine R. (2012)",73,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Peng, Roger D., Dominici, Francesca & Zeger, Scott L. (2006)",157,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Price, Michael, 2011 & Am, 10~00 (2011)",53,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Rehman, Jalees (2013)",57,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Rhodes, Ella (2015)",25,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Simmons, Joseph P., Nelson, Leif D. & Simonsohn, Uri (2011)",132,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Yong, Ed (2018) (2)",33,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Evidence synthesis : Zwaan, Rolf A., Pecher, Diane, Paolacci, Gabriele, Bouwmeester, Samantha, Verkoeijen, Peter, Dijkstra, Katinka & Zeelenberg, René (2018)",108,1,100,0,100,0,0,0
Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations,"",0.3,98.01,0.46,97.55,2,0.8,1.2
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Freedman, David H. (2010)",54,-0.02,96.3,0,96.3,3.7,1.85,1.85
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Lilienfeld, Scott O. (2017)",79,-0.01,97.47,0,97.47,2.54,1.27,1.27
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Kummer, Larry & Editor (2016)",313,-0,99.36,0,99.36,0.64,0.32,0.32
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Botkin-Kowacki, Eva (2016)",39,0,89.74,0,89.74,10.26,0,10.26
Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Editorial - 2013 - Announcement Reducing our irreproducibility,23,0,86.96,0,86.96,13.04,0,13.04
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Fanelli, Daniele (2018)",61,0,96.72,0,96.72,3.28,3.28,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Gall, Thomas, Ioannidis, John P. A. & Maniadis, Zacharias (2017)",160,0,99.38,0,99.38,0.62,0.62,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Hengartner, Michael P. (2018)",97,0,97.94,0,97.94,2.06,0,2.06
