Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
S2D8DUXG,magazineArticle,2018,"Gelman, Andrew",Everyone Is Missing the Point About Brian Wansink and P-Hacking,Slate,,,,https://slate.com/technology/2018/10/brian-wansink-p-hacking.html,There are more crucial lessons to learn from the replication crisis.,2018-10-08,2020-07-13 16:56:23,2020-07-13 18:22:03,2018-10-08 16:48:53,,,,,,,,,,,,,,en,,,,,,,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU6NB5RF,magazineArticle,2018,"Yong, Ed",Psychology’s Replication Crisis Is Running Out of Excuses,Atlantic,,,,https://www.theatlantic.com/science/archive/2018/11/psychologys-replication-crisis-real/576223/,"Another big project has found that only half of studies can be repeated. And this time, the usual explanations fall flat.",2018-11-19,2020-07-13 16:56:23,2020-07-13 18:22:03,2018-11-20 05:31:01,,,,,,,,,,,,,,en-US,,,,,,,,,,,Hand search; Hand search RRPs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826JBQED,journalArticle,2018,"Macleod, Malcolm R.",The reproducibility opportunity,Nature Human Behaviour,,2397-3374,10.1038/s41562-018-0398-0,https://www.nature.com/articles/s41562-018-0398-0,"It is important for research users to know how likely it is that reported research findings are true. The Social Science Replication Project finds that, in highly powered experiments, only 13 of 21 high-profile reports could be replicated. Investigating the factors that contribute to reliable results offers new opportunities for the social sciences.",2018-09,2020-07-13 16:56:23,2020-07-13 18:22:03,2018-11-26 20:55:55,616,,9,2,,,,,,,,,,En,2018 The Publisher,,,,www.nature.com,,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHP53RNH,webpage,2018,"Resnick, Brian",The Stanford Prison Experiment was massively influential. We just learned it was a fraud.,Vox,,,,https://www.vox.com/2018/6/13/17449118/stanford-prison-experiment-fraud-psychology-replication,"The most famous psychological studies are often wrong, fraudulent, or outdated. Textbooks need to catch up.",2018-06-13,2020-07-13 16:56:23,2020-07-13 18:22:03,2018-06-18 19:23:28,,,,,,,,,,,,,,,,,,,,,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6L3N2DSL,newspaperArticle,2018,"McKeon, Jim",Opinion | Reproducibility Should Precede Publicity,Wall Street Journal,,0099-9660,,https://www.wsj.com/articles/reproducibility-should-precede-publicity-1538412330,"Apply the rule that until a discovery is independently reproduced twice, we accord it little interest.",2018-10-01,2020-07-13 16:56:23,2020-07-13 18:22:03,2018-11-20 06:08:00,,,,,,,,,,,,,,en-US,,,,,www.wsj.com,,,,,,Hand search; Hand search RRPs,general news; humanities; letters; opinion; political; routine general news; sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opinion,,,,
GEUDDU2C,webpage,2018,"Manner, Liv","Houston, We Have a Problem: Wansink and Science’s Reproducibility Crisis",Medium,,,,https://medium.com/show-some-stempathy/houston-we-have-a-problem-wansink-and-sciences-reproducibility-crisis-28bc5a88e64c,"As someone who loves science, I want to think that it’s always perfect. That science is this thing that can do no wrong, that scientists…",2018-09-27,2020-07-13 16:56:23,2020-07-13 18:22:03,2018-10-29 20:09:48,,,,,,,"Houston, We Have a Problem",,,,,,,,,,,,,,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9N9J3P3R,blogPost,2018,"Jones, Dan",Philosophise this – psychology research by philosophers is robust and replicates better than other areas of psychology,Research Digest,,,,https://digest.bps.org.uk/2018/07/12/philosophise-this-a-new-project-has-found-that-psychology-research-by-philosophers-is-robust-and-replicates/,Studies in the burgeoning field of experimental philosophy produce more robust results than many other areas of psychology. By Dan Jones,2018-07-12,2020-07-13 16:56:23,2020-07-13 18:22:03,2018-11-05 15:23:30,,,,,,,,,,,,,,en,,,,,,,,,,,psychology; Hand search; Hand search RRPs; philosophy; X-Phi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49FMBSQ,blogPost,2018,"Lauer, Mike; Valdez, Patricia",Rigorous Resources for Rigorous Research,NIH Extramural Nexus,,,,https://nexus.od.nih.gov/all/2018/07/02/rigorous-resources-for-rigorous-research/,"Over two years ago, NIH rolled out a policy to enhance reproducibility of its supported research through rigor and transparency. Applicants and reviewers were required to devote more attention to f…",2018-07-02,2020-07-13 16:56:23,2020-07-13 18:22:03,2018-09-21 20:11:21,,,,,,,,,,,,,,en-US,,,,,,,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMK9L5M4,blogPost,2018,"Bastian, Hilda",Can We Science Our Way out of the Reproducibility Crisis?,PLoS Blogs: Absolutely Maybe,,,,https://blogs.plos.org/absolutely-maybe/2018/06/27/can-we-science-our-way-out-of-the-reproducibility-crisis/,"Many studies are so thin on details, they're unverifiable, unusable, or both. Many are too small, badly designed, or otherwise unreliable - and then the results are misinterpreted, the validity exaggerated. Many aren't published, especially if the results aren't favorable. It's the scale of these problems, compounding over the years, that constitutes a reproducibility crisis. Weak science, harmful policies, and counterproductive work practices burrowed us into this hole. It's all fueled by unexamined assumptions, cherry-picked data, and anecdote-driven beliefs - and even the way we discuss and try to tackle non-reproducibility can be like that. It's the opposite of the way scientists are meant to approach the world. We need to science our way through this - not just with more rigorous methods in research and reporting it, but with evidence-based policies and evaluation as well. Good intentions and stabs in the semi-dark aren't going to cut it. Take the",2018-06-27,2020-07-13 16:56:23,2020-07-13 18:22:03,2018-12-26 19:36:12,,,,,,,,,,,,,,en-US,,,,,,,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWP9TRN8,journalArticle,2018,"Williams, Michael",Reagent Validation to Facilitate Experimental Reproducibility,Current Protocols in Pharmacology,,1934-8290,10.1002/cpph.40,https://currentprotocols.onlinelibrary.wiley.com/doi/abs/10.1002/cpph.40,"Many results reported in the biomedical research literature cannot be independently reproduced, undermining the basic foundations of science. This overview is intended for researchers who are committed to improving the quality and integrity of biomedical science by raising awareness of both the sources of irreproducibility, and activities specifically targeted to address the issue. The irreproducibility of biomedical research is due to a variety of factors, known and unknown, that markedly influence experimental outcomes. Among the known factors are inadequate training or mentoring, or experimenter incompetence. These may result in flawed experimental design and execution that reflect a lack of planning, leading to an underpowering of a study, an absence of appropriate controls, selective data analysis, inappropriate statistical analysis, and/or investigator bias or fraud. Another frequently overlooked source of irreproducibility is failure to ensure that the equipment used is performing up to manufacturer specifications. Failure to validate/authenticate the experimental reagents is another source of irreproducibility. These include compounds, cell lines, antibodies, and the animal models used in a study. This overview discusses how a lack of validation of research reagents negatively impact experimental reproducibility, and provides guidelines to avoid these pitfalls. © 2018 by John Wiley & Sons, Inc.",2018-06-01,2020-07-13 16:56:23,2020-07-13 18:22:03,2018-10-23 18:49:05,e40,,1,81,,,,,,,,,,en,"© 2018 John Wiley & Sons, Inc.",,,,Wiley Online Library,,,,,,Hand search; Hand search NCN,antibodies; cell lines; compounds; validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
